openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1642694400000,2022 01 20 17:00:00,3220.04,3270.52,3217.63,3261.42,33401.125,1642698000000,2022 01 20 18:00:00,0.0,0,0.0,0.0,0.0
1642698000000,2022 01 20 18:00:00,3261.41,3273.37,3238.99,3245.83,13457.199,1642701600000,2022 01 20 19:00:00,0.0,0,0.0,0.0,0.0
1642701600000,2022 01 20 19:00:00,3245.83,3250.75,3225.39,3232.63,8864.22,1642705200000,2022 01 20 20:00:00,0.0,0,0.0,0.0,0.0
1642705200000,2022 01 20 20:00:00,3232.63,3249.17,3207.56,3208.42,12706.608,1642708800000,2022 01 20 21:00:00,0.0,0,0.0,0.0,0.0
1642708800000,2022 01 20 21:00:00,3208.42,3246.58,3203.77,3215.28,12373.152,1642712400000,2022 01 20 22:00:00,0.0,0,0.0,0.0,0.0
1642712400000,2022 01 20 22:00:00,3215.28,3219.29,3184.0,3195.38,12053.828,1642716000000,2022 01 20 23:00:00,0.0,0,0.0,0.0,0.0
1642716000000,2022 01 20 23:00:00,3195.38,3197.55,3080.08,3081.34,36416.715,1642719600000,2022 01 21 00:00:00,0.0,0,0.0,0.0,0.0
1642719600000,2022 01 21 00:00:00,3081.34,3108.65,3025.0,3061.02,43191.65,1642723200000,2022 01 21 01:00:00,0.0,0,0.0,0.0,0.0
1642723200000,2022 01 21 01:00:00,3061.01,3061.56,2987.15,3001.48,38938.43,1642726800000,2022 01 21 02:00:00,0.0,0,0.0,0.0,0.0
1642726800000,2022 01 21 02:00:00,3001.48,3034.12,2972.7,3016.6,27154.166,1642730400000,2022 01 21 03:00:00,0.0,0,0.0,0.0,0.0
1642730400000,2022 01 21 03:00:00,3016.59,3019.62,2893.33,2900.31,44573.402,1642734000000,2022 01 21 04:00:00,0.0,0,0.0,0.0,0.0
1642734000000,2022 01 21 04:00:00,2900.32,2954.97,2880.0,2907.66,52158.832,1642737600000,2022 01 21 05:00:00,0.0,0,0.0,0.0,0.0
1642737600000,2022 01 21 05:00:00,2907.66,2917.69,2810.02,2837.22,79516.414,1642741200000,2022 01 21 06:00:00,0.0,0,0.0,0.0,0.0
1642741200000,2022 01 21 06:00:00,2837.21,2881.63,2835.25,2863.05,23926.756,1642744800000,2022 01 21 07:00:00,0.0,0,0.0,0.0,0.0
1642744800000,2022 01 21 07:00:00,2863.05,2877.26,2849.29,2859.2,20864.08,1642748400000,2022 01 21 08:00:00,0.0,0,0.0,0.0,0.0
1642748400000,2022 01 21 08:00:00,2859.21,2866.73,2833.19,2845.23,24353.648,1642752000000,2022 01 21 09:00:00,0.0,0,0.0,0.0,0.0
1642752000000,2022 01 21 09:00:00,2845.31,2897.07,2836.06,2882.65,30978.908,1642755600000,2022 01 21 10:00:00,0.0,0,0.0,0.0,0.0
1642755600000,2022 01 21 10:00:00,2882.66,2900.0,2877.38,2892.14,23488.303,1642759200000,2022 01 21 11:00:00,0.0,0,0.0,0.0,0.0
1642759200000,2022 01 21 11:00:00,2892.13,2893.75,2868.5,2868.97,17030.668,1642762800000,2022 01 21 12:00:00,0.0,0,0.0,0.0,0.0
1642762800000,2022 01 21 12:00:00,2868.97,2886.93,2862.49,2872.54,16147.899,1642766400000,2022 01 21 13:00:00,0.0,0,0.0,0.0,0.0
1642766400000,2022 01 21 13:00:00,2872.54,2877.76,2834.44,2848.17,23948.504,1642770000000,2022 01 21 14:00:00,0.0,0,0.0,0.0,0.0
1642770000000,2022 01 21 14:00:00,2848.18,2854.68,2730.39,2777.89,76590.75,1642773600000,2022 01 21 15:00:00,0.0,0,0.0,0.0,0.0
1642773600000,2022 01 21 15:00:00,2777.9,2815.0,2758.42,2797.49,32719.53,1642777200000,2022 01 21 16:00:00,0.0,0,0.0,0.0,0.0
1642777200000,2022 01 21 16:00:00,2796.97,2834.56,2766.0,2783.88,35681.777,1642780800000,2022 01 21 17:00:00,0.0,0,0.0,0.0,0.0
1642780800000,2022 01 21 17:00:00,2783.6,2853.72,2766.41,2830.9,43955.195,1642784400000,2022 01 21 18:00:00,0.0,0,0.0,0.0,0.0
1642784400000,2022 01 21 18:00:00,2830.46,2861.58,2792.05,2809.97,30486.008,1642788000000,2022 01 21 19:00:00,0.0,0,0.0,0.0,0.0
1642788000000,2022 01 21 19:00:00,2809.96,2815.78,2766.24,2780.27,23035.334,1642791600000,2022 01 21 20:00:00,0.0,0,0.0,0.0,0.0
1642791600000,2022 01 21 20:00:00,2780.27,2807.13,2754.0,2765.93,29565.334,1642795200000,2022 01 21 21:00:00,0.0,0,0.0,0.0,0.0
1642795200000,2022 01 21 21:00:00,2766.14,2790.29,2738.17,2741.92,16639.793,1642798800000,2022 01 21 22:00:00,0.0,0,0.0,0.0,0.0
1642798800000,2022 01 21 22:00:00,2741.91,2764.82,2700.36,2744.74,60114.734,1642802400000,2022 01 21 23:00:00,0.0,0,0.0,0.0,0.0
1642802400000,2022 01 21 23:00:00,2744.74,2758.32,2558.25,2608.28,110835.94,1642806000000,2022 01 22 00:00:00,0.0,0,0.0,0.0,0.0
1642806000000,2022 01 22 00:00:00,2607.62,2648.57,2500.0,2545.63,85281.445,1642809600000,2022 01 22 01:00:00,0.0,0,0.0,0.0,0.0
1642809600000,2022 01 22 01:00:00,2545.62,2598.69,2403.0,2568.15,92974.266,1642813200000,2022 01 22 02:00:00,0.0,0,0.0,0.0,0.0
1642813200000,2022 01 22 02:00:00,2567.47,2626.0,2549.07,2591.58,48620.773,1642816800000,2022 01 22 03:00:00,0.0,0,0.0,0.0,0.0
1642816800000,2022 01 22 03:00:00,2591.29,2617.28,2580.9,2607.56,29706.758,1642820400000,2022 01 22 04:00:00,0.0,0,0.0,0.0,0.0
1642820400000,2022 01 22 04:00:00,2607.56,2610.0,2581.4,2593.3,22538.082,1642824000000,2022 01 22 05:00:00,0.0,0,0.0,0.0,0.0
1642824000000,2022 01 22 05:00:00,2593.3,2616.93,2540.0,2567.26,37178.566,1642827600000,2022 01 22 06:00:00,0.0,0,0.0,0.0,0.0
1642827600000,2022 01 22 06:00:00,2567.69,2577.01,2546.0,2554.94,27153.639,1642831200000,2022 01 22 07:00:00,0.0,0,0.0,0.0,0.0
1642831200000,2022 01 22 07:00:00,2554.94,2564.77,2477.93,2495.56,47522.867,1642834800000,2022 01 22 08:00:00,0.0,0,0.0,0.0,0.0
1642834800000,2022 01 22 08:00:00,2495.97,2534.05,2462.02,2507.12,52191.848,1642838400000,2022 01 22 09:00:00,0.0,0,0.0,0.0,0.0
1642838400000,2022 01 22 09:00:00,2507.12,2530.04,2423.66,2464.1,57650.383,1642842000000,2022 01 22 10:00:00,0.0,0,0.0,0.0,0.0
1642842000000,2022 01 22 10:00:00,2464.03,2504.84,2462.74,2469.37,30089.352,1642845600000,2022 01 22 11:00:00,0.0,0,0.0,0.0,0.0
1642845600000,2022 01 22 11:00:00,2469.37,2486.89,2371.58,2389.01,74282.61,1642849200000,2022 01 22 12:00:00,0.0,0,0.0,0.0,0.0
1642849200000,2022 01 22 12:00:00,2389.01,2469.0,2300.0,2450.13,150098.16,1642852800000,2022 01 22 13:00:00,0.0,0,0.0,0.0,0.0
1642852800000,2022 01 22 13:00:00,2450.13,2485.91,2385.52,2431.07,57161.35,1642856400000,2022 01 22 14:00:00,0.0,0,0.0,0.0,0.0
1642856400000,2022 01 22 14:00:00,2431.07,2499.0,2422.45,2490.65,45852.492,1642860000000,2022 01 22 15:00:00,0.0,0,0.0,0.0,0.0
1642860000000,2022 01 22 15:00:00,2490.65,2521.84,2458.09,2467.04,43253.785,1642863600000,2022 01 22 16:00:00,0.0,0,0.0,0.0,0.0
1642863600000,2022 01 22 16:00:00,2467.26,2473.4,2415.66,2418.65,37298.87,1642867200000,2022 01 22 17:00:00,0.0,0,0.0,0.0,0.0
1642867200000,2022 01 22 17:00:00,2418.65,2431.34,2381.0,2387.0,42004.004,1642870800000,2022 01 22 18:00:00,0.0,0,0.0,0.0,0.0
1642870800000,2022 01 22 18:00:00,2387.0,2464.84,2361.73,2439.38,50046.414,1642874400000,2022 01 22 19:00:00,0.0,0,0.0,0.0,0.0
1642874400000,2022 01 22 19:00:00,2439.85,2451.1,2369.0,2379.98,34045.863,1642878000000,2022 01 22 20:00:00,0.0,0,0.0,0.0,0.0
1642878000000,2022 01 22 20:00:00,2379.98,2400.42,2321.71,2330.57,53141.895,1642881600000,2022 01 22 21:00:00,0.0,0,0.0,0.0,0.0
1642881600000,2022 01 22 21:00:00,2331.09,2374.9,2320.0,2337.35,32489.547,1642885200000,2022 01 22 22:00:00,0.0,0,0.0,0.0,0.0
1642885200000,2022 01 22 22:00:00,2337.65,2457.48,2320.0,2429.67,60377.918,1642888800000,2022 01 22 23:00:00,0.0,0,0.0,0.0,0.0
1642888800000,2022 01 22 23:00:00,2429.9,2472.01,2410.0,2446.04,22241.955,1642892400000,2022 01 23 00:00:00,0.0,0,0.0,0.0,0.0
1642892400000,2022 01 23 00:00:00,2446.04,2446.89,2365.0,2379.37,14116.219,1642896000000,2022 01 23 01:00:00,0.0,0,0.0,0.0,0.0
1642896000000,2022 01 23 01:00:00,2379.37,2414.15,2368.3,2412.18,12294.2,1642899600000,2022 01 23 02:00:00,0.0,0,0.0,0.0,0.0
1642899600000,2022 01 23 02:00:00,2412.18,2450.0,2398.03,2448.0,22287.457,1642903200000,2022 01 23 03:00:00,0.0,0,0.0,0.0,0.0
1642903200000,2022 01 23 03:00:00,2448.01,2463.87,2433.43,2444.86,16601.84,1642906800000,2022 01 23 04:00:00,0.0,0,0.0,0.0,0.0
1642906800000,2022 01 23 04:00:00,2444.86,2448.68,2388.37,2395.36,19852.65,1642910400000,2022 01 23 05:00:00,0.0,0,0.0,0.0,0.0
1642910400000,2022 01 23 05:00:00,2395.37,2420.4,2385.9,2416.68,11201.386,1642914000000,2022 01 23 06:00:00,0.0,0,0.0,0.0,0.0
1642914000000,2022 01 23 06:00:00,2416.68,2444.81,2407.08,2432.51,19869.125,1642917600000,2022 01 23 07:00:00,0.0,0,0.0,0.0,0.0
1642917600000,2022 01 23 07:00:00,2432.51,2484.51,2411.09,2467.83,39116.08,1642921200000,2022 01 23 08:00:00,0.0,0,0.0,0.0,0.0
1642921200000,2022 01 23 08:00:00,2467.84,2480.0,2450.15,2462.94,18191.547,1642924800000,2022 01 23 09:00:00,0.0,0,0.0,0.0,0.0
1642924800000,2022 01 23 09:00:00,2462.95,2502.32,2458.36,2487.83,29531.979,1642928400000,2022 01 23 10:00:00,0.0,0,0.0,0.0,0.0
1642928400000,2022 01 23 10:00:00,2487.84,2520.25,2477.0,2520.19,38522.934,1642932000000,2022 01 23 11:00:00,0.0,0,0.0,0.0,0.0
1642932000000,2022 01 23 11:00:00,2520.2,2556.78,2508.89,2534.63,32830.895,1642935600000,2022 01 23 12:00:00,0.0,0,0.0,0.0,0.0
1642935600000,2022 01 23 12:00:00,2534.53,2537.72,2508.22,2533.92,27367.117,1642939200000,2022 01 23 13:00:00,0.0,0,0.0,0.0,0.0
1642939200000,2022 01 23 13:00:00,2533.8,2535.99,2491.5,2498.26,20254.295,1642942800000,2022 01 23 14:00:00,0.0,0,0.0,0.0,0.0
1642942800000,2022 01 23 14:00:00,2498.26,2505.0,2481.34,2495.15,18960.068,1642946400000,2022 01 23 15:00:00,0.0,0,0.0,0.0,0.0
1642946400000,2022 01 23 15:00:00,2495.15,2510.07,2482.77,2505.14,14937.062,1642950000000,2022 01 23 16:00:00,0.0,0,0.0,0.0,0.0
1642950000000,2022 01 23 16:00:00,2505.14,2518.27,2405.01,2433.51,45136.99,1642953600000,2022 01 23 17:00:00,0.0,0,0.0,0.0,0.0
1642953600000,2022 01 23 17:00:00,2433.51,2440.62,2419.0,2432.49,16537.836,1642957200000,2022 01 23 18:00:00,0.0,0,0.0,0.0,0.0
1642957200000,2022 01 23 18:00:00,2432.49,2454.44,2415.74,2426.37,18727.016,1642960800000,2022 01 23 19:00:00,0.0,0,0.0,0.0,0.0
1642960800000,2022 01 23 19:00:00,2426.38,2446.39,2423.04,2437.18,7693.6074,1642964400000,2022 01 23 20:00:00,0.0,0,0.0,0.0,0.0
1642964400000,2022 01 23 20:00:00,2437.17,2446.4,2406.17,2414.32,15906.85,1642968000000,2022 01 23 21:00:00,0.0,0,0.0,0.0,0.0
