openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1644163200000,2022 02 06 17:00:00,2.264E-5,2.302E-5,2.254E-5,2.299E-5,5.2370203E10,1644163203600,2022 02 06 17:00:03,1190381.6,0,0.0,0.0,0.0
1644166800000,2022 02 06 18:00:00,2.3E-5,2.35E-5,2.3E-5,2.32E-5,1.5937654E11,1644166803600,2022 02 06 18:00:03,3707912.0,0,0.0,0.0,0.0
1644170400000,2022 02 06 19:00:00,2.319E-5,2.348E-5,2.309E-5,2.323E-5,8.8692343E10,1644170403600,2022 02 06 19:00:03,2067114.0,0,0.0,0.0,0.0
1644174000000,2022 02 06 20:00:00,2.323E-5,2.73E-5,2.313E-5,2.598E-5,1.10409862E12,1644174003600,2022 02 06 20:00:03,2.8024374E7,0,0.0,0.0,0.0
1644177600000,2022 02 06 21:00:00,2.597E-5,2.88E-5,2.517E-5,2.687E-5,2.58448923E12,1644177603600,2022 02 06 21:00:03,7.09506E7,0,0.0,0.0,0.0
1644181200000,2022 02 06 22:00:00,2.687E-5,2.837E-5,2.66E-5,2.799E-5,1.24470873E12,1644181203600,2022 02 06 22:00:03,3.434644E7,0,0.0,0.0,0.0
1644184800000,2022 02 06 23:00:00,2.796E-5,2.812E-5,2.693E-5,2.716E-5,5.09482238E11,1644184803600,2022 02 06 23:00:03,1.4007283E7,0,0.0,0.0,0.0
1644188400000,2022 02 07 00:00:00,2.714E-5,2.86E-5,2.696E-5,2.849E-5,5.8011655E11,1644188403600,2022 02 07 00:00:03,1.612212E7,0,0.0,0.0,0.0
1644192000000,2022 02 07 01:00:00,2.85E-5,2.853E-5,2.73E-5,2.789E-5,3.76394056E11,1644192003600,2022 02 07 01:00:03,1.0499037E7,0,0.0,0.0,0.0
1644195600000,2022 02 07 02:00:00,2.789E-5,2.947E-5,2.777E-5,2.88E-5,5.0333483E11,1644195603600,2022 02 07 02:00:03,1.4472527E7,0,0.0,0.0,0.0
1644199200000,2022 02 07 03:00:00,2.879E-5,2.96E-5,2.866E-5,2.871E-5,3.53191756E11,1644199203600,2022 02 07 03:00:03,1.0307042E7,0,0.0,0.0,0.0
1644202800000,2022 02 07 04:00:00,2.871E-5,2.935E-5,2.869E-5,2.881E-5,2.48155603E11,1644202803600,2022 02 07 04:00:03,7194058.0,0,0.0,0.0,0.0
1644206400000,2022 02 07 05:00:00,2.88E-5,2.889E-5,2.777E-5,2.787E-5,3.72916158E11,1644206403600,2022 02 07 05:00:03,1.0515204E7,0,0.0,0.0,0.0
1644210000000,2022 02 07 06:00:00,2.787E-5,2.824E-5,2.745E-5,2.753E-5,1.99333708E11,1644210003600,2022 02 07 06:00:03,5556823.5,0,0.0,0.0,0.0
1644213600000,2022 02 07 07:00:00,2.755E-5,2.815E-5,2.743E-5,2.798E-5,1.50871392E11,1644213603600,2022 02 07 07:00:03,4189918.2,0,0.0,0.0,0.0
1644217200000,2022 02 07 08:00:00,2.799E-5,2.839E-5,2.769E-5,2.809E-5,1.32047585E11,1644217203600,2022 02 07 08:00:03,3701629.5,0,0.0,0.0,0.0
1644220800000,2022 02 07 09:00:00,2.809E-5,2.81E-5,2.757E-5,2.778E-5,8.7604019E10,1644220803600,2022 02 07 09:00:03,2437165.2,0,0.0,0.0,0.0
1644224400000,2022 02 07 10:00:00,2.778E-5,2.798E-5,2.704E-5,2.749E-5,1.84199528E11,1644224403600,2022 02 07 10:00:03,5061569.0,0,0.0,0.0,0.0
1644228000000,2022 02 07 11:00:00,2.749E-5,2.814E-5,2.724E-5,2.783E-5,1.78475647E11,1644228003600,2022 02 07 11:00:03,4934164.0,0,0.0,0.0,0.0
1644231600000,2022 02 07 12:00:00,2.782E-5,2.814E-5,2.76E-5,2.806E-5,9.0327032E10,1644231603600,2022 02 07 12:00:03,2509952.5,0,0.0,0.0,0.0
1644235200000,2022 02 07 13:00:00,2.807E-5,2.813E-5,2.75E-5,2.801E-5,1.36644919E11,1644235203600,2022 02 07 13:00:03,3802431.2,0,0.0,0.0,0.0
1644238800000,2022 02 07 14:00:00,2.8E-5,2.847E-5,2.787E-5,2.799E-5,1.4635452E11,1644238803600,2022 02 07 14:00:03,4123892.5,0,0.0,0.0,0.0
1644242400000,2022 02 07 15:00:00,2.798E-5,3.017E-5,2.793E-5,2.986E-5,3.75581934E11,1644242403600,2022 02 07 15:00:03,1.087771E7,0,0.0,0.0,0.0
1644246000000,2022 02 07 16:00:00,2.985E-5,3.233E-5,2.98E-5,3.196E-5,2.31646455E12,1644246003600,2022 02 07 16:00:03,7.2618904E7,0,0.0,0.0,0.0
1644249600000,2022 02 07 17:00:00,3.197E-5,3.511E-5,3.18E-5,3.446E-5,2.58526439E12,1644249603600,2022 02 07 17:00:03,8.68498E7,0,0.0,0.0,0.0
1644253200000,2022 02 07 18:00:00,3.445E-5,3.524E-5,3.343E-5,3.478E-5,1.41243397E12,1644253203600,2022 02 07 18:00:03,4.8431796E7,0,0.0,0.0,0.0
1644256800000,2022 02 07 19:00:00,3.477E-5,3.516E-5,3.281E-5,3.356E-5,1.03709855E12,1644256803600,2022 02 07 19:00:03,3.511E7,0,0.0,0.0,0.0
